,,,,,,,,,,,extracted automatically,,,,,,,
420,2023,Comparative effectiveness of explainable machine learning approaches for extrauterine growth restriction classification in preterm infants using longitudinal data,Kee Hyun Cho; Eun Sun Kim; Jong Wook Kim; Cheol‐Heui Yun; Jae‐Won Jang; Payam Hosseinzadeh Kasani; Heui Seung Jo,Journal Article,Frontiers Media,9,TRUE,https://www.frontiersin.org/articles/10.3389/fmed.2023.1166743/pdf?isPublishedV2=False,38093981,10.3389/fmed.2023.1166743,growth restriction in preterm infants,Intrauterine growth restriction,"Maternal, Reproductive & Child Health",SHAP,SVM; Logistic Regression,Tabular/EHR,Survival/mortality prediction,high
422,2023,Comparing Explainable Machine Learning Approaches With Traditional Statistical Methods for Evaluating Stroke Risk Models: Retrospective Cohort Study,Sermkiat Lolak; John Attia; Gareth J. McKay; Ammarin Thakkinstian,Journal Article,,22,TRUE,https://cardio.jmir.org/2023/1/e47736/PDF,37494080,10.2196/47736,stroke risk prediction,Stroke,Neurology,EBM explanations; XAI (unspecified),XGBoost; Explainable Boosting Machine; Logistic Regression; Cox Proportional Hazard; Bayesian Network; Tree-augmented Naive Bayes,Tabular/EHR,Prognosis/outcome prediction,high
424,2024,Comparison and use of explainable machine learning-based survival models for heart failure patients,Tao Shi; Jianping Yang; Ningli Zhang; Wei Rong; Lusha Gao; Ping Xia; Jie Zou; Na Zhu; Fazhi Yang; Lixing Chen,Journal Article,SAGE Publishing,5,TRUE,https://doi.org/10.1177/20552076241277027,39193314,10.1177/20552076241277027,heart failure overall survival,Heart failure,Cardiology,SurvSHAP(t); SurvLIME; Partial Dependence Profile,Cox Proportional Hazards; Random Survival Forest,Tabular/EHR,Survival/mortality prediction,high
426,2021,"Comparison of Gait Speed Reserve, Usual Gait Speed, and Maximum Gait Speed of Adults Aged 50+ in Ireland Using Explainable Machine Learning",James Davis; Silvin P. Knight; Orna Donoghue; Belinda Hernández; Rossella Rizzo; Rose Anne Kenny; Román Romero‐Ortuño,Journal Article,Frontiers Media,12,TRUE,https://doi.org/10.3389/fnetp.2021.754477,36925580,10.3389/fnetp.2021.754477,gait speed decline in older adults,Frailty,Ageing & Geriatrics,SHAP,Histogram Gradient Boosting,Tabular/EHR,Diagnosis/detection/classification,high
429,2025,Composite socio-environmental risk score for cardiovascular assessment: An explainable machine learning approach,Zhuo Chen; Jean‐Eudes Dazard; Pedro Rafael Vieira de Oliveira Salerno; Santosh Kumar Sirasapalli; Mohamed H. E. Makhlouf; Sanjay Rajagopalan; Sadeer Al‐Kindi,Journal Article,Elsevier BV,6,TRUE,https://doi.org/10.1016/j.ajpc.2025.100964,40200918,10.1016/j.ajpc.2025.100964,major adverse cardiovascular events,Cardiovascular disease,Cardiology,SHAP,Survival Random Forest; Cox Proportional Hazard,Tabular/EHR,Survival/mortality prediction,high
433,2024,Constructing a predictive model for early-onset sepsis in neonatal intensive care unit newborns based on SHapley Additive exPlanations explainable machine learning,Xuefeng Tan; Xu Zhang; Jie Chai; Wen-Juan Ji; J. Alexander de Ru; Cuilin Yang; Wenjing Zhou; Jing Bai; Yueling Xiong,Journal Article,AME Publishing Company,8,TRUE,https://doi.org/10.21037/tp-24-278,39649648,10.21037/tp-24-278,early-onset neonatal sepsis,Sepsis,Respiratory & Infectious Disease,SHAP,CatBoost; Random Forest; XGBoost; MLP; SVM; Logistic Regression; LASSO,Tabular/EHR,Survival/mortality prediction,high
435,2021,Convolutional Neural Networks for the evaluation of cancer in Barrett's esophagus: Explainable AI to lighten up the black-box,Luis A. de Souza; Robert Mendel; Strasser Sophia; Alanna Ebigbo; Andreas Probst; Helmut Messmann; João Paulo Papa; Christoph Palm,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,72,TRUE,https://doi.org/10.1016/j.compbiomed.2021.104578,,10.1016/j.compbiomed.2021.104578,Barrett's oesophagus early cancer detection,Oesophageal cancer,Oncology,saliency maps; guided backpropagation; integrated gradients; input x gradients; DeepLIFT,AlexNet; SqueezeNet; ResNet50; VGG16,Medical imaging,Risk prediction/screening,high
443,2025,Cost-Efficient Early Diagnostic Tool for Lung Cancer: Explainable AI in Clinical Systems,Anu Maria Sebastian; David Peter; T P Rajagopal; Rinu Ann Sebastian,Journal Article,SAGE Publishing,2,TRUE,https://doi.org/10.1177/15330338251370239,40808515,10.1177/15330338251370239,lung cancer,Lung cancer,Oncology,SHAP; counterfactual explanations,ANN; Deep Neural Network; Stacking Ensemble; ADASYN,Multimodal,Risk prediction/screening,high
453,2024,Data-driven explainable machine learning for personalized risk classification of myasthenic crisis,Sivan Bershan; Andreas Meisel; Philipp Mergenthaler,Journal Article,Elsevier BV,4,TRUE,https://doi.org/10.1016/j.ijmedinf.2024.105679,,10.1016/j.ijmedinf.2024.105679,myasthenic crisis in myasthenia gravis,Myasthenia gravis,Musculoskeletal & Rheumatology,feature importance,LASSO; Random Forest,Text/NLP,Prognosis/outcome prediction,high
458,2025,"Deciphering Immunometabolic Landscape in Rheumatoid Arthritis: Integrative Multiomics, Explainable Machine Learning and Experimental Validation",Qiu Dong; Jiayang Wu; Huaguo Zhang; Xinhui Chen; Xi Xu; Jifeng Chen; Changzheng Shi; Liangping Luo; Dong Zhang,Journal Article,Dove Medical Press,6,TRUE,https://doi.org/10.2147/jir.s503118,39835297,10.2147/JIR.S503118,rheumatoid arthritis,Rheumatoid arthritis,Musculoskeletal & Rheumatology,XAI (unspecified),ML models (unspecified),Omics,Diagnosis/detection/classification,high
462,2025,Deep learning driven interpretable and informed decision making model for brain tumour prediction using explainable AI,Khan Muhammad Adnan; Taher M. Ghazal; Muhammad Asif Saleem; Muhammad Sajid Farooq; Chan Yeob Yeun; Munir Ahmad; Sang-Woong Lee,Journal Article,Nature Portfolio,33,TRUE,https://www.nature.com/articles/s41598-025-03358-0.pdf,40451921,10.1038/s41598-025-03358-0,brain tumour,Brain tumour,Oncology,LIME; Grad-CAM,Deep Learning (unspecified),Multimodal,Treatment response prediction,high
469,2024,Design and Development of an Efficient Explainable AI Framework for Heart Disease Prediction,Deepika Tenepalli; T M Navamani,Article,Science and Information Organization,7,TRUE,http://thesai.org/Downloads/Volume15No6/Paper_149-Design_and_Development_of_an_Efficient_Explainable_AI_Framework.pdf,,10.14569/IJACSA.2024.01506149,heart disease,Heart disease,Cardiology,SHAP,Random Forest; XGBoost; SVM; SVMSMOTE,Tabular/EHR,Prognosis/outcome prediction,high
472,2025,Detecting label noise in longitudinal Alzheimer's data with explainable artificial intelligence,Paolo Sorino; Angela Lombardi; Domenico Lofù; Tommaso Colafiglio; Antonio Ferrara; Fedelucio Narducci; Eugenio Di Sciascio; Tommaso Di Noia,Journal Article,Springer Science+Business Media,5,TRUE,https://braininformatics.springeropen.com/counter/pdf/10.1186/s40708-025-00261-2,40493093,10.1186/s40708-025-00261-2,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP,ML models (unspecified),Tabular/EHR,Risk prediction/screening,high
477,2025,Detection of breast cancer using machine learning and explainable artificial intelligence,Tharunya Arravalli; Krishnaraj Chadaga; H Muralikrishna; Niranjana Sampathila; D. Cenitta; Rajagopala Chadaga; K. S. Swathi,Journal Article,Nature Portfolio,33,TRUE,https://www.nature.com/articles/s41598-025-12644-w.pdf,40707590,10.1038/s41598-025-12644-w,breast cancer,Breast cancer,Oncology,SHAP; LIME; ELI5; Anchor; QLattice,Random Forest; Stacking Ensemble; ML classifiers (unspecified),Tabular/EHR,Diagnosis/detection/classification,high
481,2023,Detection of Monkeypox from skin lesion images using deep learning networks and explainable artificial intelligence,Tushar Nayak; Krishnaraj Chadaga; Niranjana Sampathila; Hilda Mayrose; G. Muralidhar Bairy; Srikanth Prabhu; K. S. Swathi; Shashikiran Umakanth,Article,Taylor & Francis,37,TRUE,https://www.tandfonline.com/doi/pdf/10.1080/27690911.2023.2225698?download=true,,10.1080/27690911.2023.2225698,monkeypox,Monkeypox,Other,,ResNet; SqueezeNet; Transfer Learning,Medical imaging,Diagnosis/detection/classification,high
482,2024,Determination of Significant Three-Dimensional Hemodynamic Features for Postembolization Recanalization in Cerebral Aneurysms Through Explainable Artificial Intelligence,鐐二 石井; Kouichi Misaki; Takehiro Uno; Kazuya Futami; Mitsutoshi Nakada; Jiro Sakamoto,Article,Elsevier BV,3,FALSE,,,10.1016/j.wneu.2024.01.076,cerebral aneurysm recanalization after coil embolisation,Cerebral aneurysm,Neurology,saliency maps,PointNet DNN,Tabular/EHR,Monitoring/management,high
485,2025,"Developing an Explainable Artificial Intelligence System for the Mobile-Based Diagnosis of Febrile Diseases Using Random Forest, LIME, and GPT",Kingsley Attai; Constance Amannah; Moses E. Ekpenyong; Daniel Asuquo; Oryina Kingsley Akputu; Okure Obot; Peterben Ajuga; Jeremiah C. Obi; Omosivie Maduka; Christie Akwaowo; Faith‐Michael Uzoka,Journal Article,,7,TRUE,https://e-hir.org/upload/pdf/hir-2025-31-2-125.pdf,40384064,10.4258/hir.2025.31.2.125,febrile infectious diseases,Infectious disease,Respiratory & Infectious Disease,LIME; GPT-3.5 natural language explanations,Random Forest,Tabular/EHR,Prognosis/outcome prediction,medium
488,2022,Developing an explainable machine learning model to predict the mechanical ventilation duration of patients with ARDS in intensive care units,Zichen Wang; Luming Zhang; Tao Huang; Rui Yang; Hongtao Cheng; Hao Wang; Haiyan Yin; Jun Lyu,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,44,TRUE,http://www.heartandlung.org/article/S0147956322002692/pdf,36423504,10.1016/j.hrtlng.2022.11.005,acute respiratory distress syndrome mechanical ventilation duration,Mechanical ventilation,Respiratory & Infectious Disease,SHAP; LIME; DALEX,XGBoost; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
490,2021,Developing an Explainable Machine Learning-Based Personalised Dementia Risk Prediction Model: A Transfer Learning Approach With Ensemble Learning Algorithms,Samuel Danso; Zhanhang Zeng; Graciela Muñiz‐Terrera; Craig Ritchie,Journal Article,Frontiers Media,67,TRUE,https://www.frontiersin.org/articles/10.3389/fdata.2021.613047/pdf,34124650,10.3389/fdata.2021.613047,dementia and Alzheimer's disease,Dementia,Neurology,SHAP,Ensemble Learning; Transfer Learning,Tabular/EHR,Biomarker discovery,high
492,2025,Developing an Explainable Prognostic Model for Acute Ischemic Stroke: Combining Clinical and Inflammatory Biomarkers With Machine Learning,Linlin Ma; Lang Ji; Zhe Cheng; Xiaokun Geng; Yuchuan Ding,Journal Article,Wiley,3,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/brb3.70673,40741677,10.1002/brb3.70673,acute cerebral infarction prognosis,Stroke,Neurology,SHAP,Logistic Regression; ML models (unspecified),Tabular/EHR,Biomarker discovery,high
493,2024,Development and application of explainable artificial intelligence using machine learning classification for long-term facial nerve function after vestibular schwannoma surgery,Łukasz Przepiórka; Sławomir Kujawski; Katarzyna Wójtowicz; Edyta Maj; Andrzej Marchel; Przemysław Kunert,Journal Article,Springer Science+Business Media,9,TRUE,https://link.springer.com/content/pdf/10.1007/s11060-024-04844-7.pdf,39392590,10.1007/s11060-024-04844-7,facial nerve outcome after vestibular schwannoma surgery,Neurosurgery,Other,SHAP,XGBoost,Tabular/EHR,Prognosis/outcome prediction,high
495,2025,Development and multi-center cross-setting validation of an explainable prediction model for sarcopenic obesity: a machine learning approach based on readily available clinical features,Rongna Lian; Huiyu Tang; Zecong Chen; Xiaoyan Chen; Shuyue Luo; Wenhua Jiang; Jiaojiao Jiang; Ming Yang,Journal Article||Multicenter Study||Validation Study,Springer Science+Business Media,10,TRUE,https://link.springer.com/content/pdf/10.1007/s40520-025-02975-z.pdf,40021576,10.1007/s40520-025-02975-z,sarcopenic obesity,Obesity,Diabetes & Endocrinology,SHAP,SVM; Logistic Regression; Random Forest; LightGBM; XGBoost,Tabular/EHR,Prognosis/outcome prediction,high
497,2022,Development and Validation of an Explainable Machine Learning Model for Major Complications After Cytoreductive Surgery,Huiyu Deng; Zahra Eftekhari; Cameron Carlin; Jula Veerapong; Keith F. Fournier; Fabian M. Johnston; Seán Dineen; Benjamin D. Powers; Ryan J. Hendrix; Laura Lambert; Daniel E. Abbott; Kara Vande Walle; Travis E. Grotz; Sameer H. Patel; Callisia N. Clarke; Charles A. Staley; Sherif Abdel‐Misih; Jordan M. Cloyd; Byrne Lee; Yuman Fong; Mustafa Raoof,Journal Article,American Medical Association,64,TRUE,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2792675/deng_2022_oi_220380_1655137526.59686.pdf,35612856,10.1001/jamanetworkopen.2022.12930,major postoperative complications after cytoreductive surgery,Postoperative complications,Critical Care & Surgery,SHAP,Gradient Boosting; MLR (baseline),Tabular/EHR,Prognosis/outcome prediction,high
499,2025,Development and validation of an explainable machine learning model for mortality prediction among patients with infected pancreatic necrosis,Caihong Ning; Hui Ouyang; Jie Xiao; Di Wu; Zefang Sun; Baiqi Liu; Dingcheng Shen; Xiao‐Yue Hong; Chiayan Lin; Jiarong Li; Lu Chen; Shuai Zhu; Xinying Li; Fada Xia; Gengwen Huang,Journal Article,Elsevier BV,37,TRUE,https://doi.org/10.1016/j.eclinm.2025.103074,39911245,10.1016/j.eclinm.2025.103074,infected pancreatic necrosis mortality,Pancreatic cancer,Oncology,SHAP,Random Survival Forest; ML models (unspecified),Tabular/EHR,Survival/mortality prediction,high
501,2024,Development and validation of an explainable machine learning model for predicting multidimensional frailty in hospitalized patients with cirrhosis,Fang Yang; Chaoqun Li; Wanting Yang; Yumei He; Liping Wu; Kui Jiang; Chao Sun,Journal Article||Validation Study,Oxford University Press,10,TRUE,https://academic.oup.com/bib/article-pdf/25/6/bbae491/59536318/bbae491.pdf,39358034,10.1093/bib/bbae491,frailty in decompensated liver cirrhosis,Liver disease,Other,SHAP,Random Forest; ML algorithms (unspecified),Tabular/EHR,Diagnosis/detection/classification,high
503,2024,Development and Validation of an Explainable Machine Learning Model for Predicting Myocardial Injury After Noncardiac Surgery in Two Centers in China: Retrospective Study,Chang Liu; Kai Zhang; Xiaodong Yang; Bingbing Meng; Jingsheng Lou; Yanhong Liu; Jiangbei Cao; Ke‐Xuan Liu; Weidong Mi; Hao Li,Journal Article||Multicenter Study||Validation Study,,11,TRUE,https://s3.ca-central-1.amazonaws.com/assets.jmir.org/assets/preprints/preprint-54872-accepted.pdf,39087583,10.2196/54872,myocardial injury after non-cardiac surgery,Myocardial infarction,Cardiology,SHAP,CatBoost; Random Forest; Logistic Regression; Naive Bayes; LightGBM; XGBoost; SVM; Decision Tree; LASSO; RFE,Tabular/EHR,Prognosis/outcome prediction,high
505,2025,Development and validation of an explainable machine learning model for predicting osteoporosis in patients with type 2 diabetes mellitus,Qipeng Wei; Zi-Hao Liu; Xiaofeng Chen; Hao Li; Weijun Guo; Qin Huang; Jiheng Zhan; Shiji Chen; Dongling Cai,Journal Article||Validation Study,Frontiers Media,7,TRUE,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1611499/pdf,40852187,10.3389/fendo.2025.1611499,osteoporosis in type 2 diabetes mellitus,Osteoporosis,Musculoskeletal & Rheumatology,SHAP,Logistic Regression; ML algorithms (unspecified); LASSO; Boruta,Medical imaging,Prognosis/outcome prediction,high
506,2025,Development and validation of an explainable machine learning model for predicting postoperative pulmonary complications after lung cancer surgery: a machine learning study,S. Chen; Ting Deng; Qing Yang; Li Jin; Juanyan Shen; Xu Luo; Juan Tang; Xulian Zhang; Jordan Tovera Salvador; Junliang Ma,Journal Article,Elsevier BV,23,TRUE,https://www.thelancet.com/pdfs/journals/eclinm/PIIS2589-5370(25)00318-9.pdf,40791887,10.1016/j.eclinm.2025.103386,postoperative pulmonary complications in lung cancer surgery,Postoperative pulmonary complications,Respiratory & Infectious Disease,SHAP,Gradient Boosting Decision Tree; SVM; Decision Tree; Stacking Ensemble; ML algorithms (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
507,2025,Development and validation of an explainable machine learning model for predicting prognosis in sepsis patients with a history of cancer who were admitted to the intensive care unit,Xiang Luo; Xiuji Kan; Dongliang Wang; Yu Shi; Siqi Zhu; Zhen‐Yu Chen; Congcong Wang; Wenqi Zhu; Xiaoyan Wang; Wenwen Sun,Journal Article||Validation Study,SAGE Publishing,3,TRUE,https://doi.org/10.1177/03000605251362991,40808362,10.1177/03000605251362991,in-hospital mortality in cancer patients with sepsis,Cancer (general),Oncology,SHAP; Partial Dependence Plot; breakdown algorithm,Random Forest; XGBoost; ML algorithms (unspecified); LASSO; RFE,Tabular/EHR,Survival/mortality prediction,high
508,2025,Development and validation of an explainable machine learning model for predicting the risk of sleep disorders in older adults with multimorbidity: a cross-sectional study,Xia Wang; Dan Zhang; Lu Liu; Shujie Meng; Yong Li; Rong Zhang; Jingjie Zhou; Yu Qian; Zeng Li; Zhao Jiang; Yu Zeng; Ru Gao,Journal Article,Frontiers Media,4,TRUE,https://public-pages-files-2025.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1619406/pdf,40860561,10.3389/fpubh.2025.1619406,sleep disorders in older adults with multimorbidity,Sleep disorders,Ageing & Geriatrics,SHAP,Logistic Regression; Neural Network; SVM; Gradient Boosting Machine; KNN; LightGBM,Tabular/EHR,Prognosis/outcome prediction,high
